Level 1,,
Name,Data Type,Offset
Battery Stacks,"Array[1..5] of ""Battery Stack""",0
,,
,,
,,
,,
,,
,,
Level 2,,
Name,Data Type,Offset
Battery Stacks,"Array[1..5] of ""Battery Stack""",0
Battery Stacks[1],Battery Stack,0
Battery Stacks[2],Battery Stack,504
Battery Stacks[3],Battery Stack,1008
Battery Stacks[4],Battery Stack,1512
Battery Stacks[5],Battery Stack,2016
,,
,,
,,
,,
,,
Level 3,,
Name,Data Type,Offset
Battery Stacks,"Array[1..5] of ""Battery Stack""",0
Battery Stacks[1],Battery Stack,0
BMS,"Array[1..4] of ""BMS(Xerotech)""",0
BTMS,BTMS(Grayson),456
Battery Stacks[2],Battery Stack,504
BMS,"Array[1..4] of ""BMS(Xerotech)""",504
BTMS,BTMS(Grayson),960
Battery Stacks[3],Battery Stack,1008
BMS,"Array[1..4] of ""BMS(Xerotech)""",1008
BTMS,BTMS(Grayson),1464
Battery Stacks[4],Battery Stack,1512
BMS,"Array[1..4] of ""BMS(Xerotech)""",1512
BTMS,BTMS(Grayson),1968
Battery Stacks[5],Battery Stack,2016
BMS,"Array[1..4] of ""BMS(Xerotech)""",2016
BTMS,BTMS(Grayson),2472
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Level 4,,
Name,Data Type,Offset
Battery Stacks,"Array[1..5] of ""Battery Stack""",0
Battery Stacks[1],Battery Stack,0
BMS,"Array[1..4] of ""BMS(Xerotech)""",0
BMS[1],BMS(Xerotech),0
BMS[2],BMS(Xerotech),114
BMS[3],BMS(Xerotech),228
BMS[4],BMS(Xerotech),342
BTMS,BTMS(Grayson),456
Device ID,USInt,456
Rx,BTMS_receive,458
Tx,BTMS_transmit,498
Battery Stacks[2],Battery Stack,504
BMS,"Array[1..4] of ""BMS(Xerotech)""",504
BMS[1],BMS(Xerotech),504
BMS[2],BMS(Xerotech),618
BMS[3],BMS(Xerotech),732
BMS[4],BMS(Xerotech),846
BTMS,BTMS(Grayson),960
Device ID,USInt,960
Rx,BTMS_receive,962
Tx,BTMS_transmit,1002
Battery Stacks[3],Battery Stack,1008
BMS,"Array[1..4] of ""BMS(Xerotech)""",1008
BMS[1],BMS(Xerotech),1008
BMS[2],BMS(Xerotech),1122
BMS[3],BMS(Xerotech),1236
BMS[4],BMS(Xerotech),1350
BTMS,BTMS(Grayson),1464
Device ID,USInt,1464
Rx,BTMS_receive,1466
Tx,BTMS_transmit,1506
Battery Stacks[4],Battery Stack,1512
BMS,"Array[1..4] of ""BMS(Xerotech)""",1512
BMS[1],BMS(Xerotech),1512
BMS[2],BMS(Xerotech),1626
BMS[3],BMS(Xerotech),1740
BMS[4],BMS(Xerotech),1854
BTMS,BTMS(Grayson),1968
Device ID,USInt,1968
Rx,BTMS_receive,1970
Tx,BTMS_transmit,2010
Battery Stacks[5],Battery Stack,2016
BMS,"Array[1..4] of ""BMS(Xerotech)""",2016
BMS[1],BMS(Xerotech),2016
BMS[2],BMS(Xerotech),2130
BMS[3],BMS(Xerotech),2244
BMS[4],BMS(Xerotech),2358
BTMS,BTMS(Grayson),2472
Device ID,USInt,2472
Rx,BTMS_receive,2474
Tx,BTMS_transmit,2514
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Level 5,,
Name,Data Type,Offset
Battery Stacks,"Array[1..5] of ""Battery Stack""",0
Battery Stacks[1],Battery Stack,0
BMS,"Array[1..4] of ""BMS(Xerotech)""",0
BMS[1],BMS(Xerotech),0
CAN interface,USInt,0
Device ID,USInt,1
Rx,BMS_receive,2
Tx,BMS_transmit,102
BMS[2],BMS(Xerotech),114
CAN interface,USInt,114
Device ID,USInt,115
Rx,BMS_receive,116
Tx,BMS_transmit,216
BMS[3],BMS(Xerotech),228
CAN interface,USInt,228
Device ID,USInt,229
Rx,BMS_receive,230
Tx,BMS_transmit,330
BMS[4],BMS(Xerotech),342
CAN interface,USInt,342
Device ID,USInt,343
Rx,BMS_receive,344
Tx,BMS_transmit,444
BTMS,BTMS(Grayson),456
Device ID,USInt,456
Rx,BTMS_receive,458
Operating Mode,USInt,458
Pump Speed,USInt,459
Fan Speed,USInt,460
Inlet Temperature,Int,462
Outlet Temperature,Int,464
Target Temperature,Int,466
Compressor Timer,USInt,468
Protect Lock State,USInt,469
Protect Timer,USInt,470
Lock Timer,USInt,471
Software Version,USInt,472
Compressor HTCO State,USInt,473
LPCO State,USInt,474
HPCO State,USInt,475
CPS State,USInt,476
Fan1 HTCO State,USInt,477
Heater HTCO State,USInt,478
Level Sensor Switch State,USInt,479
Fan1 MCB State,USInt,480
Heater MCB State,USInt,481
Compressor MCB State,USInt,482
Pump MCB State,USInt,483
Fan2 MCB State,USInt,484
Fan2 HTCO State,USInt,485
Pump Pressure Flow Switch,USInt,486
Pump State,USInt,487
Fan State,USInt,488
Heater State,USInt,489
Compressor State,USInt,490
Inlet Temp Sensor State,USInt,491
Outlet Temp Sensor State,USInt,492
Temp Plausibility Error,USInt,493
F1 Refrigerant circuit over-pressure,Bool,494
F2 Refrigerant circuit under-pressure,Bool,494.1
F3 Compressor over-temperature,Bool,494.2
F4 Heater over-temperature,Bool,494.3
F5 Fan 1 over-temperature,Bool,494.4
F6 Inlet temperature sensor open circuit,Bool,494.5
F7 Inlet temperature sensor short circuit,Bool,494.6
F8 Outlet temperature sensor open circuit,Bool,494.7
F9 Outlet temperature sensor short circuit,Bool,495
F10 Temperatures disagree (not plausible),Bool,495.1
F11 Cooling prohibited due to low temperature,Bool,495.2
F12 Heating prohibited due to high temperature,Bool,495.3
F13 Pump incorrect speed,Bool,495.4
F14 Pump communications fault,Bool,495.5
F15 Pump fault (CAN),Bool,495.6
F16 Compressor circuit breaker,Bool,495.7
F17 Heater circuit breaker,Bool,496
F18 Fan 1 circuit breaker,Bool,496.1
F19 Not implemented,Bool,496.2
F20 Coolant level fault (Level sensor switch),Bool,496.3
F21 Fan 2 Over-temperature,Bool,496.4
F22 Fan 2 circuit breaker,Bool,496.5
F23 Not implemented,Bool,496.6
F24 Pump circuit breaker,Bool,496.7
F25 Flow rate fault (Pump Pressure_Flow Switch Fault),Bool,497
F26 Not implemented,Bool,497.1
Tx,BTMS_transmit,498
ModeRequest,USInt,498
SetpointRequestDegC,Int,500
PumpSpeedRequestPercent,Int,502
